,year,bus_ridership,LRT_ridership,MRT_ridership,taxi_ridership,no_of_mrt_stations,no_of_lrt_stations,no_of_bus_stops,no_of_taxi_stands,no_of_green_vehicles
0,2004,2805000,55000,1270000,852000,65,31,4576,174,79
1,2005,2779000,69000,1321000,980000,65,31,4576,199,198
2,2006,2833000,74000,1408000,946000,66,31,4544,198,716
3,2007,2932000,79000,1527000,944000,66,33,4544,210,1543
4,2008,3087000,88000,1698000,909000,68,33,4572,230,5443
5,2009,3047000,90000,1782000,860000,73,33,4581,232,7224
6,2010,3199000,100000,2069000,912000,84,33,4591,255,8711
7,2011,3385000,111000,2295000,933000,97,34,4615,268,9376
8,2012,3481000,124000,2525000,967000,99,34,4608,269,9880
9,2013,3601000,132000,2623000,967000,105,35,4638,270,10277
